"","CID","PROD_TYPE","PROD_MOD","PROD_MOD2","CITY","CITY2","AGE","GEN","INCOME","LOAN","NUM_FREE_VIS","NUM_PAID_VIS","FREE_AV_US","PAID_AV_US","PAID_AV_TIME","PAID_AV_FD","NUM_OVRCH","VISIT3","VISTIME_23"
"1","ABC1","PB","PB1","9","HYD","3","41","1","8.95","0","3","2","3038.47","5929.42","161","9.1","1","0",NA
"2","ABC2","SC","SC3","2","HYD","3","41","1","7.61","0","3","2","1487.09","2477.93","183","8.1","0","0",NA
"3","ABC3","SC","SC1","0","MUM","0","42","0","14.72","0","2","1","3337.89","8541.09","313","6.4","0",NA,NA
"4","ABC4","PB","PB2","10","HYD","3","39","0","13.65","1","1","0","4862.4",NA,NA,NA,NA,NA,NA
"5","ABC5","SC","SC3","2","MUM","0","46","0","17.67","0","3","1","2684.76","7786.02","259","6.5","1",NA,NA
"6","ABC6","PB","PB2","10","DEL","2","43","1","11.78","1","2","0","4373.79",NA,NA,NA,NA,NA,NA
"7","ABC7","PB","PB1","9","BNG","1","46","0","19.61","1","3","1","2824.5","7825.61","264","6.7","0",NA,NA
"8","ABC8","SB","SB5","5","BNG","1","29","1","3.25","1","3","1","1729.92","7081.49","355","8.4","0",NA,NA
"9","ABC9","SC","SC4","3","DEL","2","40","0","19.55","0","3","1","2381.19","8819.8","311","7.1","2",NA,NA
"10","ABC10","SC","SC3","2","DEL","2","41","1","8.01","0","1","1","3511.39","7530.81","318","6","0",NA,NA
"11","ABC11","PB","PB2","10","KOL","5","37","0","12.46","0","3","0","2848.71",NA,NA,NA,NA,NA,NA
"12","ABC12","PB","PB2","10","KOL","5","42","0","16.21","0","3","0","3117.08",NA,NA,NA,NA,NA,NA
"13","ABC13","SB","SB3","8","HYD","3","48","0","16.31","1","3","2","1994.12","2891.28","205","7.8","0","0",NA
"14","ABC14","SC","SC4","3","HYD","3","41","0","8.16","1","2","2","5215.84","3500.22","183","6.5","1","0",NA
"15","ABC15","PB","PB1","9","BNG","1","37","0","7.87","1","3","0","2929.68",NA,NA,NA,NA,NA,NA
"16","ABC16","PB","PB2","10","KOL","5","37","0","9.54","0","2","1","3738.12","8957.09","186","6.6","0",NA,NA
"17","ABC17","PB","PB2","10","KOL","5","35","1","7.13","1","3","2","3003.03","4750.5","182","6.6","0","0",NA
"18","ABC18","SC","SC4","3","KOL","5","37","0","10.49","0","3","1","2517.9","9055.34","221","6","1",NA,NA
"19","ABC19","SB","SB2","4","CHE","4","37","0","13.65","1","3","1","1927.17","10552.8","196","8.6","0",NA,NA
"20","ABC20","SC","SC2","1","KOL","5","45","0","20.48","0","3","0","1706.88",NA,NA,NA,NA,NA,NA
"21","ABC21","SC","SC1","0","HYD","3","43","0","17.83","1","3","0","2256.45",NA,NA,NA,NA,NA,NA
"22","ABC22","SC","SC4","3","BNG","1","40","1","14.83","0","3","1","2205.16","7058.16","282","6.6","0",NA,NA
"23","ABC23","SC","SC4","3","CHE","4","40","0","13.77","1","2","2","3959.24","2207.04","179","6.5","1","0",NA
